market,BBW_THRESHOLD,BB_PERIOD,BB_STD_DEV,ATR_MULTIPLIER_TP,ATR_MULTIPLIER_SL,trading_fee,win_count,loss_count,pnl
BUZZUSDT,0.04,20,2.1,3,2.0,0.0061,149,169,227.11932029811143
BUZZUSDT,0.05,20,2.2,4,4.0,0.0061,83,62,226.6535905698857
BUZZUSDT,0.07,21,2.0,4,3.0,0.0061,75,68,226.51846115153097
BUZZUSDT,0.1,19,1.7,4,1.0,0.0061,56,111,226.4876814794568
BUZZUSDT,0.04,20,1.7,3,2.0,0.0061,168,199,226.44511693874185
BUZZUSDT,0.04,20,2.0,4,4.0,0.0061,87,66,226.1999976921691
BUZZUSDT,0.04,20,2.2,4,4.0,0.0061,85,63,225.95704506322576
BUZZUSDT,0.09,20,1.9,4,1.0,0.0061,61,116,225.86127600441887
BUZZUSDT,0.1,20,1.8,3,1.5,0.0061,66,72,225.77770661729213
BUZZUSDT,0.06,21,2.1,3,1.5,0.0061,119,161,225.1769044307329
BUZZUSDT,0.05,21,2.2,3,1.5,0.0061,132,184,224.86104305914583
BUZZUSDT,0.08,18,2.0,4,3.0,0.0061,67,58,224.1780810934798
BUZZUSDT,0.04,19,1.8,3,2.0,0.0061,168,193,224.03881382316945
BUZZUSDT,0.07,20,1.7,3,3.0,0.0061,110,79,223.953096704413
BUZZUSDT,0.1,20,1.7,4,1.0,0.0061,56,112,223.4393091293768
BUZZUSDT,0.06,18,1.8,4,2.0,0.0061,97,138,223.23132294509804
BUZZUSDT,0.05,21,2.2,3,2.0,0.0061,128,141,222.89002633922047
BUZZUSDT,0.05,21,1.9,3,2.0,0.0061,149,167,222.5302454983648
BUZZUSDT,0.06,20,1.7,4,1.0,0.0061,107,265,222.353969334805
BUZZUSDT,0.05,20,1.8,4,2.0,0.0061,102,151,222.1122668922987
BUZZUSDT,0.09,18,1.9,4,1.0,0.0061,60,112,221.4926177893377
BUZZUSDT,0.06,20,1.7,3,2.0,0.0061,139,156,221.44429196061373
BUZZUSDT,0.07,21,2.0,4,2.0,0.0061,81,105,221.4397437363103
BUZZUSDT,0.04,21,1.7,3,2.0,0.0061,161,192,221.4281999634623
BUZZUSDT,0.07,21,1.8,4,2.0,0.0061,87,120,221.3648619400726
BUZZUSDT,0.08,20,1.8,4,1.0,0.0061,77,169,221.26001659222885
BUZZUSDT,0.08,18,1.9,4,2.0,0.0061,71,92,221.08999116457423
BUZZUSDT,0.06,19,1.8,4,2.0,0.0061,97,139,221.025333586214
BUZZUSDT,0.07,19,1.8,4,1.0,0.0061,87,205,220.83676148916703
BUZZUSDT,0.06,21,2.2,3,2.0,0.0061,110,114,220.79950758303144
BUZZUSDT,0.1,18,1.7,4,1.0,0.0061,55,109,220.62530313707407
BUZZUSDT,0.08,18,2.1,4,3.0,0.0061,66,57,220.49774559144987
BUZZUSDT,0.07,21,1.9,4,4.0,0.0061,77,55,220.48173964070213
BUZZUSDT,0.05,21,1.9,4,4.0,0.0061,88,71,220.40974047675013
BUZZUSDT,0.04,19,1.7,4,2.0,0.0061,108,159,220.4025392171052
BUZZUSDT,0.06,21,2.0,4,4.0,0.0061,81,62,220.00715396330017
BUZZUSDT,0.06,21,2.2,3,1.5,0.0061,112,149,219.81636164807264
BUZZUSDT,0.06,21,2.1,3,2.0,0.0061,119,125,219.8099178359791
BUZZUSDT,0.05,18,1.7,3,2.0,0.0061,154,178,219.5085405594584
BUZZUSDT,0.08,20,2.1,4,3.0,0.0061,64,54,219.4243753580276
BUZZUSDT,0.04,20,1.7,4,1.0,0.0061,127,313,219.25202654299105
BUZZUSDT,0.04,21,1.8,4,2.0,0.0061,110,159,219.23893919575696
BUZZUSDT,0.08,21,1.8,4,1.0,0.0061,78,176,219.21188751814628
BUZZUSDT,0.07,19,1.9,4,2.0,0.0061,84,113,219.0676243881512
BUZZUSDT,0.05,20,2.2,3,2.0,0.0061,127,139,218.858804937663
BUZZUSDT,0.04,21,2.2,3,2.0,0.0061,138,153,218.82843583308068
BUZZUSDT,0.07,20,1.9,4,2.0,0.0061,84,113,218.65671358032108
BUZZUSDT,0.05,18,1.8,3,2.0,0.0061,152,176,218.50218442507384
BUZZUSDT,0.07,21,2.0,3,3.0,0.0061,101,72,217.2321622499109
BUZZUSDT,0.08,18,1.9,4,3.0,0.0061,71,64,217.20124192940827
BUZZUSDT,0.04,18,1.7,3,2.0,0.0061,163,194,216.8504959235772
BUZZUSDT,0.06,18,1.7,4,1.0,0.0061,107,271,216.64994164257908
BUZZUSDT,0.04,18,1.7,4,1.0,0.0061,127,314,216.5559038182643
BUZZUSDT,0.06,20,1.9,4,2.0,0.0061,96,134,216.09784880300217
BUZZUSDT,0.08,19,1.9,4,3.0,0.0061,68,60,216.05159554007065
BUZZUSDT,0.06,19,2.2,4,4.0,0.0061,75,54,215.97243153868428
BUZZUSDT,0.05,21,2.0,3,3.0,0.0061,135,107,215.93010290097104
BUZZUSDT,0.08,18,1.8,4,2.0,0.0061,74,97,215.8958001048664
BUZZUSDT,0.04,21,1.9,4,1.0,0.0061,119,293,215.6476174821807
BUZZUSDT,0.05,20,1.7,3,3.0,0.0061,138,114,215.26400803411784
BUZZUSDT,0.09,21,1.8,3,1.5,0.0061,80,98,215.2060252826478
BUZZUSDT,0.06,21,1.8,3,1.5,0.0061,135,200,215.1481893338672
BUZZUSDT,0.07,21,1.7,3,3.0,0.0061,109,80,215.0121499478918
BUZZUSDT,0.04,21,1.7,3,3.0,0.0061,143,121,213.6351562388158
BUZZUSDT,0.04,18,1.9,3,2.0,0.0061,158,184,213.47416718878128
BUZZUSDT,0.07,20,2.0,4,1.0,0.0061,78,177,212.8479627747244
BUZZUSDT,0.09,21,1.9,4,1.0,0.0061,59,113,212.6067902012724
BUZZUSDT,0.04,21,1.7,4,1.0,0.0061,128,318,212.58906225030512
BUZZUSDT,0.09,18,1.9,3,1.5,0.0061,75,85,212.5058940246121
BUZZUSDT,0.09,21,2.0,3,1.5,0.0061,73,80,212.4527087475246
BUZZUSDT,0.04,21,1.9,3,2.0,0.0061,155,178,212.1131252146304
BUZZUSDT,0.06,21,2.0,4,2.0,0.0061,91,127,211.86836361740004
BUZZUSDT,0.06,21,1.8,4,2.0,0.0061,97,139,211.8524397951671
BUZZUSDT,0.09,18,1.8,4,1.0,0.0061,63,125,211.83338351687144
BUZZUSDT,0.04,19,1.7,4,1.0,0.0061,127,316,211.82381356139413
BUZZUSDT,0.04,20,1.9,4,2.0,0.0061,106,154,211.77996798813373
BUZZUSDT,0.04,19,2.0,4,4.0,0.0061,83,63,211.5984499152848
BUZZUSDT,0.05,18,2.0,3,2.0,0.0061,141,164,211.5384812543789
BUZZUSDT,0.1,21,1.8,4,2.0,0.0061,53,67,211.40508200075945
BUZZUSDT,0.09,20,1.7,3,1.5,0.0061,82,101,211.22499926562887
BUZZUSDT,0.04,20,1.7,4,2.0,0.0061,106,157,211.1850873932959
BUZZUSDT,0.05,21,1.8,3,1.5,0.0061,153,233,210.903655262057
BUZZUSDT,0.07,21,2.1,3,2.0,0.0061,101,97,210.8179127216233
BUZZUSDT,0.04,19,2.2,3,2.0,0.0061,141,155,210.3295932376192
BUZZUSDT,0.07,21,2.1,4,2.0,0.0061,78,99,210.2470652087441
BUZZUSDT,0.06,20,1.7,3,3.0,0.0061,122,98,209.96975684330013
BUZZUSDT,0.08,20,1.7,4,1.0,0.0061,80,184,209.6309122716799
BUZZUSDT,0.06,18,1.8,4,1.0,0.0061,101,254,209.39439195310072
BUZZUSDT,0.04,21,2.1,4,2.0,0.0061,105,147,209.1890428378836
