Market,Session,RSI Level
10000QUBICUSDT,sydney,oversold
10000WENUSDT,sydney,both
1000TOSHIUSDT,sydney,both
1000XECUSDT,sydney,none
1INCHUSDT,sydney,none
ACTUSDT,sydney,none
ACXUSDT,sydney,none
AGLDUSDT,sydney,both
ALPACAUSDT,sydney,none
ARBUSDT,sydney,none
ARKUSDT,sydney,both
ASTRUSDT,sydney,none
ATHUSDT,sydney,none
ATOMUSDT,sydney,none
AVAILUSDT,sydney,none
AXSUSDT,sydney,none
BANANAUSDT,sydney,both
BEAMUSDT,sydney,none
BELUSDT,sydney,none
BLURUSDT,sydney,none
BNXUSDT,sydney,none
BSVUSDT,sydney,none
CARVUSDT,sydney,none
CELOUSDT,sydney,none
CETUSUSDT,sydney,none
CLOUDUSDT,sydney,none
COOKIEUSDT,sydney,none
COOKUSDT,sydney,none
COSUSDT,sydney,none
COTIUSDT,sydney,none
DASHUSDT,sydney,none
DATAUSDT,sydney,none
DBRUSDT,sydney,both
DEEPUSDT,sydney,both
DGBUSDT,sydney,both
DODOUSDT,sydney,none
DOGUSDT,sydney,both
DOTUSDT,sydney,none
EGLDUSDT,sydney,none
ENSUSDT,sydney,none
EOSUSDT,sydney,none
ETHBTCUSDT,sydney,none
ETHUSDT,sydney,none
FDUSDUSDT,sydney,none
FILUSDT,sydney,none
FIREUSDT,sydney,none
FLOWUSDT,sydney,none
FTMUSDT,sydney,both
FUELUSDT,sydney,none
FUSDT,sydney,none
FWOGUSDT,sydney,both
GLMRUSDT,sydney,none
GLMUSDT,sydney,both
GMXUSDT,sydney,both
GRASSUSDT,sydney,oversold
GUSDT,sydney,none
HBARUSDT,sydney,none
HIFIUSDT,sydney,both
HIGHUSDT,sydney,none
HIVEUSDT,sydney,oversold
HPOS10IUSDT,sydney,none
INJUSDT,sydney,none
IOSTUSDT,sydney,both
JASMYUSDT,sydney,none
JOEUSDT,sydney,none
JTOUSDT,sydney,both
KAIAUSDT,sydney,both
KOMAUSDT,sydney,none
LAIUSDT,sydney,both
LINKUSDT,sydney,none
LRCUSDT,sydney,none
LSKUSDT,sydney,none
LTCUSDT,sydney,none
LTOUSDT,sydney,oversold
LUMIAUSDT,sydney,none
MANEKIUSDT,sydney,both
MASAUSDT,sydney,both
MASKUSDT,sydney,none
MAVUSDT,sydney,none
MBLUSDT,sydney,both
MEMEFIUSDT,sydney,none
MERLUSDT,sydney,none
MKRUSDT,sydney,none
MORPHOUSDT,sydney,oversold
MOTHERUSDT,sydney,none
MOVEUSDT,sydney,none
MVLUSDT,sydney,both
NEARUSDT,sydney,none
NSUSDT,sydney,oversold
OMUSDT,sydney,none
ONEUSDT,sydney,none
ONGUSDT,sydney,both
OSMOUSDT,sydney,none
OXTUSDT,sydney,none
PAXGUSDT,sydney,none
PENGUUSDT,sydney,none
POLYXUSDT,sydney,oversold
POWRUSDT,sydney,oversold
PROSUSDT,sydney,none
PYRUSDT,sydney,none
RADUSDT,sydney,none
RONUSDT,sydney,none
RSS3USDT,sydney,both
RUNEUSDT,sydney,oversold
SANDUSDT,sydney,none
SDUSDT,sydney,none
SHIB1000USDT,sydney,none
SOLOUSDT,sydney,none
SONICUSDT,sydney,both
STEEMUSDT,sydney,oversold
STMXUSDT,sydney,both
STPTUSDT,sydney,both
SUIUSDT,sydney,none
SUNUSDT,sydney,oversold
SXPUSDT,sydney,none
TIAUSDT,sydney,none
TOKENUSDT,sydney,none
TRXUSDT,sydney,none
USDCUSDT,sydney,none
USDEUSDT,sydney,oversold
USUALUSDT,sydney,both
VETUSDT,sydney,none
VIRTUALUSDT,sydney,both
VTHOUSDT,sydney,none
WAXPUSDT,sydney,both
XEMUSDT,sydney,both
