Market,Session,RSI Level
1000000MOGUSDT,sydney,oversold
10000QUBICUSDT,sydney,both
10000WENUSDT,sydney,oversold
10000WHYUSDT,sydney,none
1000APUUSDT,sydney,both
1000LUNCUSDT,sydney,none
1000MUMUUSDT,sydney,both
1000PEPEUSDT,sydney,none
1000TOSHIUSDT,sydney,oversold
1CATUSDT,sydney,both
1INCHUSDT,sydney,none
ACEUSDT,sydney,none
ACTUSDT,sydney,both
AEVOUSDT,sydney,none
AGIUSDT,sydney,none
AGLDUSDT,sydney,oversold
AI16ZUSDT,sydney,oversold
AIOZUSDT,sydney,oversold
AIUSDT,sydney,none
AIXBTUSDT,sydney,both
AKTUSDT,sydney,none
ALCHUSDT,sydney,both
ALEOUSDT,sydney,oversold
ALICEUSDT,sydney,none
ALPHAUSDT,sydney,none
ALTUSDT,sydney,none
AMBUSDT,sydney,none
APEUSDT,sydney,both
APTUSDT,sydney,oversold
ARBUSDT,sydney,none
ARCUSDT,sydney,both
ARPAUSDT,sydney,none
ASTRUSDT,sydney,none
ATAUSDT,sydney,none
ATHUSDT,sydney,both
AVAILUSDT,sydney,both
AVAUSDT,sydney,oversold
AXLUSDT,sydney,both
BALUSDT,sydney,both
BANANAUSDT,sydney,none
BATUSDT,sydney,none
BBUSDT,sydney,none
BCHUSDT,sydney,none
BEAMUSDT,sydney,none
BELUSDT,sydney,none
BENDOGUSDT,sydney,both
BICOUSDT,sydney,none
BIOUSDT,sydney,none
BNXUSDT,sydney,none
BTCUSDT,sydney,both
CARVUSDT,sydney,both
CELRUSDT,sydney,none
CETUSUSDT,sydney,both
CHESSUSDT,sydney,none
CHILLGUYUSDT,sydney,both
CHRUSDT,sydney,none
CHZUSDT,sydney,none
CLOUDUSDT,sydney,both
COOKIEUSDT,sydney,both
COOKUSDT,sydney,none
CROUSDT,sydney,none
CTCUSDT,sydney,both
CVCUSDT,sydney,oversold
DASHUSDT,sydney,none
DEEPUSDT,sydney,both
DEXEUSDT,sydney,none
DGBUSDT,sydney,none
DOGUSDT,sydney,both
DOTUSDT,sydney,none
DRIFTUSDT,sydney,oversold
EIGENUSDT,sydney,none
ENAUSDT,sydney,oversold
ENJUSDT,sydney,none
ENSUSDT,sydney,both
