Trading Pair,Biggest Win,Biggest Loss,Average Win,Average Loss,Risk-Reward Ratio,Win Rate,Longest Win Streak,Longest Loss Streak,Last PnL Value,Total Wins,Total Losses
LUCEUSDT,26.823738566552905,-16.26932328767124,8.059905884284369,-3.754360918331362,2.146811683695722,0.4893617021276595,4,4,105.53298203221226,185.37783533854048,-90.1046620399527
AIXBTUSDT,30.594814925373136,-11.18966232670283,8.142739520290412,-3.830207111226128,2.1259266885136543,0.4791666666666667,5,4,89.4112268061886,187.2830089666795,-95.7551777806532
MYRIAUSDT,15.388364578499612,-10.064602496099836,5.023376764485204,-2.1519379530423746,2.334350187645158,0.5106382978723404,6,6,70.58943561950313,120.56104234764489,-49.494572919974615
1000APUUSDT,16.04187417360924,-9.789826962142207,5.333456289551978,-2.5651887993753237,2.0791671516930004,0.5,5,4,66.35941484872511,128.00295094924746,-61.56453118500776
AVAAIUSDT,21.89999447597428,-20.091641959945548,8.539637936736396,-5.359212085936298,1.5934502683978873,0.4871794871794871,3,3,64.4811174526517,162.25312079799153,-107.18424171872596
RPLUSDT,28.18116162988114,-7.359148228882837,4.9219777375584925,-1.267861735139308,3.882109224644818,0.4166666666666667,3,5,62.67680950060255,98.43955475116984,-35.500128583900626
SPELLUSDT,12.616096529968472,-8.488696624156027,3.68470120124557,-1.6130498397410222,2.284307099796219,0.5106382978723404,4,5,50.74063340748256,88.43282882989368,-37.10014631404351
HIVEUSDT,14.81663271859406,-13.10564827586206,3.47936454711528,-1.8622663647817443,1.86834956207946,0.5208333333333334,7,4,46.47401738668168,86.984113677882,-42.83212638998012
MELANIAUSDT,10.863524381625435,-4.570365596002855,3.684681061525318,-1.8524266754017893,1.9891103439903308,0.5925925925925926,3,3,42.165259556886994,58.95489698440509,-20.37669342941968
FARTCOINUSDT,19.89498202589489,-9.28575196770938,6.372435419152935,-3.7930291351166567,1.680038616143387,0.4583333333333333,4,13,40.75493196976184,140.19357922136456,-98.61875751303307
REXUSDT,24.214667469879515,-10.375517013463888,5.899136569722729,-3.044588944826282,1.937580631285949,0.4473684210526316,4,6,38.55716234981024,100.2853216852864,-63.93636784135192
TNSRUSDT,10.933324652338818,-5.520594648829428,3.747894053671004,-1.2967364161237742,2.8902512546645918,0.4166666666666667,3,5,37.36442285118024,74.95788107342008,-36.30861965146568
RENDERUSDT,8.879697386253628,-14.158666205428414,3.2877990747727592,-1.507458678932289,2.181021026129525,0.4791666666666667,5,4,36.84666066241513,75.61937871977347,-37.686466973307226
AMBUSDT,8.803130794859591,-4.938462544073768,3.0652207127254774,-1.1771980467046532,2.603827555869628,0.4583333333333333,5,7,36.13192899303584,67.4348556799605,-30.607149214320984
RAYDIUMUSDT,15.622332659809585,-8.618420475706607,4.371214324580971,-1.88794916468363,2.3153241656872,0.425531914893617,4,5,36.09328723064863,87.42428649161943,-50.97462744645801
GODSUSDT,29.101248275862087,-13.935849289099531,3.485372951449976,-1.4667516208123317,2.376253008344841,0.4468085106382978,6,6,34.11122496103775,73.19283198044948,-38.135542141120624
