Trading Pair,Biggest Win,Biggest Loss,Average Win,Average Loss,Risk-Reward Ratio,Win Rate,Longest Win Streak,Longest Loss Streak,Last PnL Value,Total Wins,Total Losses
MYRIAUSDT,15.388364578499605,-10.064602496099852,2.470141580365459,-1.810936656396592,1.3640132423408755,0.6,6,3,71.50544332959349,140.79807008083117,-68.81559294307048
AIXBTUSDT,30.594814925373136,-14.549016479400748,4.379884667857296,-3.4582574733136004,1.266500456271875,0.5384615384615384,5,4,67.25093046599868,214.61434872500752,-145.2468138791712
RPLUSDT,28.18116162988114,-7.359148228882837,2.158191459367024,-1.2187612017068583,1.7708074857851612,0.5578947368421052,5,5,62.93356020809752,114.38414734645228,-51.18797047168805
HIVEUSDT,14.816632718594064,-13.105648275862062,1.948355814423999,-1.6384900330155472,1.189116671547987,0.5578947368421052,6,7,36.76830687659876,103.26285816447196,-68.81658138665298
LTCUSDT,8.46235237672804,-7.6562205729454735,1.5514811441276608,-1.213381038904389,1.2786429772535064,0.5684210526315789,5,4,34.01906225728062,83.77998178289369,-49.74862259507995
MELANIAUSDT,10.863524381625435,-8.249241420118354,2.1717532422655825,-2.1769679853524044,0.9976045843935653,0.6037735849056604,6,6,27.36683206199974,69.49610375249864,-45.71632769240049
RSRUSDT,9.594079856267165,-10.279610832232486,1.7604918823958395,-1.5113063820998258,1.1648808628398648,0.5473684210526316,6,5,26.8540714964464,91.54557788458364,-64.98617443029251
AVAAIUSDT,21.89999447597427,-22.35997267785964,4.767368951821643,-4.691262300254691,1.016223064645697,0.5194805194805194,4,4,26.53029133682833,190.6947580728657,-173.5767051094236
RENDERUSDT,8.879697386253628,-14.15866620542842,1.690885058796226,-1.4042462414871628,1.204122901554288,0.5473684210526316,6,4,26.457183589404604,87.92602305740374,-60.382588383948
VIRTUALUSDT,24.68551686328938,-21.307107004353007,2.4649663700224327,-2.765714516754109,0.8912584271045302,0.5588235294117647,7,7,25.81847323400953,281.0061661825573,-248.91430650786975
SPELLUSDT,12.616096529968472,-11.827017518248184,2.1575758142067585,-2.010833751445308,1.0729757309155858,0.5473684210526316,8,5,25.13604191823562,112.19394233875144,-86.46585131214823
TNSRUSDT,10.933324652338817,-5.520594648829428,1.8715555969934003,-1.3646311283598491,1.3714736225039978,0.5052631578947369,6,6,24.412167051996143,89.83466865568322,-64.13766303291291
GASUSDT,5.812614814814815,-10.6230155812538,1.0923729230890549,-1.0451702306400146,1.0451626836138794,0.6129032258064516,7,5,24.34492471914524,62.26525661607613,-37.62612830304053
HBARUSDT,8.412339256734224,-11.958932634846708,1.841471244772949,-1.4522512743230005,1.2680114504505375,0.5154639175257731,4,7,23.56391120761086,92.07356223864748,-68.25580989318102
10000000AIDOGEUSDT,12.094574193548386,-5.306821848739505,1.768116340077888,-1.4250484632910791,1.2407411997726103,0.5212765957446809,4,3,22.20227543928339,86.63770066381652,-64.12718084809856
RAYDIUMUSDT,15.622332659809588,-8.618420475706607,2.15047089293907,-1.802502605002776,1.1930473148668534,0.5157894736842106,4,4,22.10158210937391,105.37307375401444,-82.91511983012768
REXUSDT,24.21466746987952,-10.375517013463888,3.0019662176010447,-2.9120342470037714,1.0308828684586404,0.5324675324675324,6,3,20.455590535382804,123.08061492164283,-104.83323289213575
DATAUSDT,7.209761301671058,-4.829786206896564,1.3342830973791064,-1.0415765329223328,1.2810226183145006,0.5368421052631579,4,6,20.430043175138024,68.04843796633443,-45.82936744858264
1000APUUSDT,16.04187417360924,-9.7898269621422,2.9969548983683367,-2.5219121365330786,1.1883661032252728,0.4948453608247423,4,6,20.201135516044765,143.85383512168016,-123.57369469012085
SXPUSDT,13.816279149632042,-5.867011133200798,1.480159646770977,-1.0938305549365763,1.3531891572153067,0.5106382978723404,5,5,19.279189118471564,71.0476630450069,-50.31620552708251
10000COQUSDT,10.867365217391308,-7.290133094384699,1.872989843828839,-1.5631204425075411,1.198237699984403,0.5172413793103449,4,4,18.062294344306803,84.28454297229776,-65.65105858531673
NMRUSDT,9.447332964541578,-7.68563331795109,1.3999452100418768,-1.2027670125511665,1.1639371511133143,0.5376344086021505,7,3,17.633582404339517,69.99726050209384,-51.71898153970016
NULSUSDT,7.9578,-3.818647069513866,1.2733728150324677,-1.1212723283388697,1.1356499066724766,0.5473684210526316,5,5,17.344388212802464,66.21538638168832,-48.21471011857139
AIUSDT,14.946021521837014,-17.076332492113565,1.9926438737359995,-2.094296494768296,0.9514621634108484,0.5591397849462365,6,5,16.626318131227997,103.61748143427197,-85.86615628550013
SUPERUSDT,9.52826394633874,-12.719060367188815,1.7294698105808908,-1.6951064377177805,1.0202721033313846,0.5483870967741935,6,5,16.19256662141226,88.20296033962543,-71.19447038414678
TAIUSDT,13.060216472801082,-14.682166749792197,2.283156476206045,-2.248094195424127,1.0155964464715423,0.5368421052631579,4,4,16.024714604056694,116.44098028650828,-98.9161445986616
DYDXUSDT,9.948659950859952,-9.64997947932618,1.7418902353689567,-1.1829172770730425,1.4725376567996469,0.4639175257731959,5,5,15.307599981221587,78.38506059160305,-61.51169840779821
SLERFUSDT,12.131133333333327,-6.775108366533868,1.4728965153496671,-1.2647701846215875,1.1645566390311055,0.5280898876404494,7,6,15.211792985758134,69.22613622143436,-53.12034775410669
BERAUSDT,12.263526479866384,-5.132002699896155,2.734288073781673,-2.4609559743835097,1.111067447871202,0.6190476190476191,4,2,15.157771760085916,35.54574495916175,-19.68764779506808
1000PEPEUSDT,9.635461013807811,-10.292825353386853,1.795832419279627,-1.330266541380882,1.3499793939156468,0.4842105263157895,4,5,15.152196269165726,82.60829128686282,-65.18306052766322
KMNOUSDT,8.124975242216156,-8.621291751621877,1.5206876427129272,-1.580604090359595,0.9620926910083876,0.5591397849462365,8,5,15.09099632209126,79.07575742107221,-64.8047677047434
