Timestamp,PnL,Win Count,Loss Count,Position,Entry,Stoploss,Takeprofit
2025-02-14 20:05:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 20:10:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 20:15:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 20:20:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 20:25:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 20:30:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 20:35:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 20:40:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 20:45:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 20:50:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 20:55:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 21:00:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 21:05:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 21:10:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 21:15:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 21:20:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 21:25:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 21:30:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 21:35:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 21:40:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 21:45:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 21:50:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 21:55:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 22:00:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 22:05:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 22:10:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 22:15:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 22:20:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 22:25:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 22:30:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 22:35:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 22:40:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 22:45:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 22:50:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 22:55:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 23:00:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 23:05:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 23:10:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 23:15:00,0,0,0,long,0.04853,0.04596392857142857,0.05366214285714285
2025-02-14 23:20:00,-6.435112981660824,0,1,long,0.04541,0.04250107142857143,0.051227857142857144
2025-02-14 23:25:00,-6.435112981660824,0,1,long,0.04541,0.04250107142857143,0.051227857142857144
2025-02-14 23:30:00,-6.435112981660824,0,1,long,0.04541,0.04250107142857143,0.051227857142857144
2025-02-14 23:35:00,-6.435112981660824,0,1,long,0.04541,0.04250107142857143,0.051227857142857144
